Time,Input,Temperature,Set Point
0,0,23.875,60
1,50,23.937,60
2,50,23.875,60
3,50,23.875,60
4,50,23.937,60
5,50,23.875,60
6,50,23.875,60
7,50,23.875,60
8,50,23.875,60
9,50,23.937,60
10,50,23.875,60
11,50,23.937,60
12,50,23.875,60
13,50,23.875,60
14,50,23.875,60
15,50,23.875,60
16,50,23.875,60
17,50,23.937,60
18,50,23.875,60
19,50,23.875,60
20,50,23.937,60
21,50,23.937,60
22,50,23.937,60
23,50,23.937,60
24,50,23.937,60
25,50,23.937,60
26,50,23.937,60
27,50,23.875,60
28,50,23.875,60
29,50,23.875,60
30,50,23.937,60
31,50,23.937,60
32,50,23.937,60
33,50,23.937,60
34,50,23.937,60
35,50,23.937,60
36,50,23.937,60
37,50,23.937,60
38,50,23.937,60
39,50,23.937,60
40,50,23.937,60
41,50,23.937,60
42,50,23.937,60
43,50,23.937,60
44,50,23.937,60
45,50,23.937,60
46,50,23.937,60
47,50,23.937,60
48,50,23.937,60
49,50,23.937,60
50,50,23.937,60
51,50,23.937,60
52,50,23.937,60
53,50,23.937,60
54,50,23.937,60
55,50,23.937,60
56,50,23.937,60
57,50,23.937,60
58,50,23.937,60
59,50,23.937,60
60,50,23.937,60
61,50,23.937,60
62,50,23.937,60
63,50,23.937,60
64,50,23.937,60
65,50,23.937,60
66,50,23.937,60
67,50,23.937,60
68,50,23.937,60
69,50,23.937,60
70,50,23.937,60
71,50,23.937,60
72,50,23.937,60
73,50,23.937,60
74,50,23.937,60
75,50,23.937,60
76,50,23.937,60
77,50,23.937,60
78,50,23.937,60
79,50,23.937,60
80,50,23.937,60
81,50,23.937,60
82,50,23.937,60
83,50,23.937,60
84,50,23.937,60
85,50,23.937,60
86,50,23.937,60
87,50,23.937,60
88,50,23.937,60
89,50,23.937,60
90,50,23.937,60
91,50,23.937,60
92,50,23.937,60
93,50,23.937,60
94,50,23.937,60
95,50,23.937,60
96,50,23.937,60
97,50,23.937,60
98,50,23.937,60
99,50,23.937,60
100,50,23.937,60
101,50,23.937,60
102,50,23.937,60
103,50,23.937,60
104,50,23.937,60
105,50,23.937,60
106,50,23.937,60
107,50,23.937,60
108,50,23.937,60
109,50,23.937,60
110,50,23.937,60
111,50,23.937,60
112,50,23.937,60
113,50,23.937,60
114,50,23.937,60
115,50,23.937,60
116,50,23.937,60
